"","day","1","2","3","4","5","median"
"1",1,0,0,0,0,0,0
"2",2,0,0,0,0,0,0
"3",3,0,0,0,0,0,0
"4",4,0,0,0,0,0,0
"5",5,0,0,0,0,0,0
"6",6,0,0,0,0,0,0
"7",7,0,0,0,0,0,0
"8",8,0,0,0,0,0,0
"9",9,0,0,0,0,0,0
"10",10,0,0,0,0,0,0
"11",11,0,0,0,0,0,0
"12",12,0,1,0,0,0,0
"13",13,0,1,0,0,0,0
"14",14,0,1,0,0,0,0
"15",15,0,1,1,0,1,1
"16",16,0,1,1,0,1,1
"17",17,0,1,1,0,1,1
"18",18,0,1,1,0,1,1
"19",19,0,1,0,0,1,0
"20",20,0,1,0,0,1,0
"21",21,0,1,3,0,1,1
"22",22,0,2,4,0,1,1
"23",23,0,3,4,0,1,1
"24",24,0,2,5,0,3,2
"25",25,0,2,4,0,6,2
"26",26,1,3,7,0,6,3
"27",27,2,3,7,0,6,3
"28",28,3,3,9,0,7,3
"29",29,4,3,9,1,9,4
"30",30,5,2,8,2,10,5
"31",31,5,1,9,2,10,5
"32",32,4,2,9,2,11,4
"33",33,4,2,11,2,10,4
"34",34,4,2,13,2,11,4
"35",35,5,4,14,2,12,5
"36",36,6,4,13,2,16,6
"37",37,6,5,13,2,13,6
"38",38,5,5,15,3,13,5
"39",39,5,5,18,4,14,5
"40",40,6,6,20,3,17,6
"41",41,5,6,22,3,18,6
"42",42,5,7,21,3,22,7
"43",43,7,9,21,4,22,9
"44",44,7,10,21,4,23,10
"45",45,7,11,25,4,23,11
"46",46,8,13,23,4,25,13
"47",47,9,15,20,4,24,15
"48",48,11,16,20,4,26,16
"49",49,11,18,19,4,24,18
"50",50,12,17,21,3,24,17
"51",51,11,17,17,4,24,17
"52",52,10,15,17,3,27,15
"53",53,11,14,17,3,30,14
"54",54,13,13,18,3,30,13
"55",55,12,13,22,3,30,13
"56",56,11,11,24,4,29,11
"57",57,9,11,25,4,27,11
"58",58,10,11,27,3,30,11
"59",59,12,10,27,4,28,12
"60",60,11,12,29,4,28,12
"61",61,11,12,28,4,26,12
"62",62,11,12,28,4,25,12
"63",63,11,13,30,4,23,13
"64",64,13,13,29,5,22,13
"65",65,13,13,29,5,19,13
"66",66,12,14,26,4,20,14
"67",67,11,14,26,4,23,14
"68",68,11,15,26,3,25,15
"69",69,12,16,25,3,24,16
"70",70,11,16,25,3,24,16
"71",71,11,15,26,4,27,15
"72",72,13,16,24,3,27,16
"73",73,13,15,23,3,30,15
"74",74,11,15,23,4,30,15
"75",75,13,14,25,5,31,14
"76",76,14,13,25,4,33,14
"77",77,14,14,26,4,33,14
"78",78,16,14,27,4,32,16
"79",79,18,14,28,5,32,18
"80",80,18,12,31,4,28,18
"81",81,18,11,30,4,27,18
"82",82,18,11,30,4,29,18
"83",83,15,12,27,4,31,15
"84",84,13,11,32,4,34,13
"85",85,15,10,35,5,32,15
"86",86,15,9,39,4,31,15
"87",87,15,9,39,4,32,15
"88",88,15,9,40,5,32,15
"89",89,13,9,36,6,32,13
"90",90,14,11,36,6,32,14
"91",91,13,11,34,7,29,13
"92",92,14,10,31,7,27,14
"93",93,14,11,31,5,26,14
"94",94,15,12,33,5,28,15
"95",95,18,12,33,4,25,18
"96",96,19,11,30,3,24,19
"97",97,18,8,32,3,23,18
"98",98,17,8,32,2,24,17
"99",99,18,7,33,1,23,18
"100",100,21,7,29,1,24,21
"101",101,21,7,29,1,22,21
"102",102,24,6,28,1,21,21
"103",103,23,6,28,1,21,21
"104",104,26,6,27,2,20,20
"105",105,25,6,25,2,20,20
"106",106,24,5,25,2,20,20
"107",107,23,5,23,4,20,20
"108",108,19,5,21,4,19,19
"109",109,18,6,22,4,16,16
"110",110,15,6,21,5,16,15
"111",111,17,6,20,5,18,17
"112",112,20,5,17,6,17,17
"113",113,18,6,18,5,19,18
"114",114,19,7,17,5,19,17
"115",115,21,7,18,5,19,18
"116",116,20,6,19,5,21,19
"117",117,19,6,19,5,20,19
"118",118,19,5,18,5,21,18
"119",119,19,6,16,3,23,16
"120",120,20,5,16,3,20,16
"121",121,19,5,15,3,22,15
"122",122,18,4,15,1,23,15
"123",123,15,3,14,2,24,14
"124",124,16,3,14,2,24,14
"125",125,17,3,14,2,25,14
"126",126,17,3,14,2,23,14
"127",127,16,4,18,3,23,16
"128",128,18,6,19,3,23,18
"129",129,21,7,19,3,23,19
"130",130,18,8,20,3,23,18
"131",131,19,7,20,3,21,19
"132",132,20,7,21,3,20,20
"133",133,19,9,20,4,21,19
"134",134,21,10,21,4,21,21
"135",135,20,10,23,4,22,20
"136",136,20,10,24,4,24,20
"137",137,20,10,24,4,27,20
"138",138,20,9,25,4,27,20
"139",139,17,8,25,4,26,17
"140",140,17,6,22,5,25,17
"141",141,17,7,25,6,28,17
"142",142,19,6,28,6,27,19
"143",143,18,7,29,9,26,18
"144",144,19,6,27,9,25,19
"145",145,18,8,27,8,24,18
"146",146,18,10,28,8,23,18
"147",147,19,9,28,8,26,19
"148",148,18,9,27,8,26,18
